País,Año,Fecha,Nombre
Chile,2018,1 enero,Año Nuevo
Chile,2018,30 marzo,Viernes Santo
Chile,2018,31 marzo,Sábado Santo
Chile,2018,1 mayo,Día del Trabajo
Chile,2018,21 mayo,Día de las Glorias Navales
Chile,2018,7 junio,Díá de la Batalla de Arica (Arica y Paranicota)
Chile,2018,2 julio,San Pedro y San Pablo
Chile,2018,16 julio,Día de la Virgen del Carmen
Chile,2018,15 agosto,Asunción de la Virgen
Chile,2018,20 agosto,Natalicio de Bernardo O’Higgins (Chillán y Chillán Viejo)
Chile,2018,17 septiembre,Lunes de las Fiestas Patrias (feriado adicional)
Chile,2018,18 septiembre,Díá de la Independencia Nacional
Chile,2018,19 septiembre,Día de las Glorias del Ejército
Chile,2018,15 octubre,Díá del Encuentro de dos Mundos
Chile,2018,1 noviembre,Día de Todos los Santos
Chile,2018,2 noviembre,Día de las Iglesias Evangélicas y Protestantes
Chile,2018,8 diciembre,Día de la Inmaculada Concepción
Chile,2018,25 diciembre,Día de Navidad
Chile,2019,1 enero,Año Nuevo
Chile,2019,19 abril,Viernes Santo
Chile,2019,20 abril,Sábado Santo
Chile,2019,1 mayo,Día del Trabajo
Chile,2019,21 mayo,Día de las Glorias Navales
Chile,2019,7 junio,Díá de la Batalla de Arica (Arica y Paranicota)
Chile,2019,29 junio,San Pedro y San Pablo
Chile,2019,16 julio,Día de la Virgen del Carmen
Chile,2019,15 agosto,Asunción de la Virgen
Chile,2019,20 agosto,Natalicio de Bernardo O’Higgins (Chillán y Chillán Viejo)
Chile,2019,18 septiembre,Díá de la Independencia Nacional
Chile,2019,19 septiembre,Día de las Glorias del Ejército
Chile,2019,20 septiembre,Viernes de las Fiestas Patrias (feriado adicional)
Chile,2019,12 octubre,Díá del Encuentro de dos Mundos
Chile,2019,31 octubre,Día de las Iglesias Evangélicas y Protestantes
Chile,2019,1 noviembre,Día de Todos los Santos
Chile,2019,8 diciembre,Día de la Inmaculada Concepción
Chile,2019,25 diciembre,Día de Navidad
Chile,2020,1 enero,Año Nuevo
Chile,2020,10 abril,Viernes Santo
Chile,2020,11 abril,Sábado Santo
Chile,2020,1 mayo,Día del Trabajo
Chile,2020,21 mayo,Día de las Glorias Navales
Chile,2020,7 junio,Díá de la Batalla de Arica (Arica y Paranicota)
Chile,2020,29 junio,San Pedro y San Pablo
Chile,2020,16 julio,Día de la Virgen del Carmen
Chile,2020,15 agosto,Asunción de la Virgen
