País,Año,Fecha,Nombre
Perú,2018,1 enero,Año Nuevo
Perú,2018,29 marzo,Jueves Santo
Perú,2018,30 marzo,Viernes Santo
Perú,2018,1 abril,Domingo de Resurrección
Perú,2018,1 mayo,Día del Trabajo
Perú,2018,24 junio,Inti Raymi - Fiesta Inca del Sol
Perú,2018,29 junio,Festividad de San Pedro y San Pablo
Perú,2018,28 julio,Fiesta de la Independencia Nacional
Perú,2018,29 julio,Fiesta de la Independencia Nacional
Perú,2018,30 agosto,Festividad de Santa Rosa de Lima
Perú,2018,8 octubre,Celebración de la Batalla de Angamos
Perú,2018,1 noviembre,Día de Todos los Santos
Perú,2018,8 diciembre,Día de la Inmaculada Concepción
Perú,2018,24 diciembre,Noche Buena
Perú,2018,25 diciembre,Día de Navidad
Perú,2019,1 enero,Año Nuevo
Perú,2019,18 abril,Jueves Santo
Perú,2019,19 abril,Viernes Santo
Perú,2019,21 abril,Domingo de Resurrección
Perú,2019,1 mayo,Día del Trabajo
Perú,2019,24 junio,Inti Raymi - Fiesta Inca del Sol
Perú,2019,29 junio,Festividad de San Pedro y San Pablo
Perú,2019,28 julio,Fiesta de la Independencia Nacional
Perú,2019,29 julio,Fiesta de la Independencia Nacional
Perú,2019,30 agosto,Festividad de Santa Rosa de Lima
Perú,2019,8 octubre,Celebración de la Batalla de Angamos
Perú,2019,1 noviembre,Día de Todos los Santos
Perú,2019,8 diciembre,Día de la Inmaculada Concepción
Perú,2019,24 diciembre,Noche Buena
Perú,2019,25 diciembre,Día de Navidad
Perú,2020,1 enero,Año Nuevo
Perú,2020,9 abril,Jueves Santo
Perú,2020,10 abril,Viernes Santo
Perú,2020,12 abril,Domingo de Resurrección
Perú,2020,1 mayo,Día del Trabajo
Perú,2020,24 junio,Inti Raymi - Fiesta Inca del Sol
Perú,2020,29 junio,Festividad de San Pedro y San Pablo
Perú,2020,28 julio,Fiesta de la Independencia Nacional
Perú,2020,29 julio,Fiesta de la Independencia Nacional
Perú,2020,30 agosto,Festividad de Santa Rosa de Lima
Perú,2020,8 octubre,Celebración de la Batalla de Angamos
Perú,2020,1 noviembre,Día de Todos los Santos
Perú,2020,8 diciembre,Día de la Inmaculada Concepción
Perú,2020,24 diciembre,Noche Buena
Perú,2020,25 diciembre,Día de Navidad
Perú,2021,1 enero,Año Nuevo
Perú,2021,1 abril,Jueves Santo
Perú,2021,2 abril,Viernes Santo
Perú,2021,4 abril,Domingo de Resurrección
Perú,2021,1 mayo,Día del Trabajo
Perú,2021,24 junio,Inti Raymi - Fiesta Inca del Sol
Perú,2021,29 junio,Festividad de San Pedro y San Pablo
Perú,2021,28 julio,Fiesta de la Independencia Nacional
Perú,2021,29 julio,Fiesta de la Independencia Nacional
Perú,2021,30 agosto,Festividad de Santa Rosa de Lima
Perú,2021,8 octubre,Celebración de la Batalla de Angamos
Perú,2021,1 noviembre,Día de Todos los Santos
Perú,2021,8 diciembre,Día de la Inmaculada Concepción
Perú,2021,24 diciembre,Noche Buena
Perú,2021,25 diciembre,Día de Navidad
Perú,2022,1 enero,Año Nuevo
Perú,2022,14 abril,Jueves Santo
Perú,2022,15 abril,Viernes Santo
Perú,2022,17 abril,Domingo de Resurrección
Perú,2022,1 mayo,Día del Trabajo
Perú,2022,24 junio,Inti Raymi - Fiesta Inca del Sol
Perú,2022,29 junio,Festividad de San Pedro y San Pablo
Perú,2022,28 julio,Fiesta de la Independencia Nacional
Perú,2022,29 julio,Fiesta de la Independencia Nacional
Perú,2022,30 agosto,Festividad de Santa Rosa de Lima
Perú,2022,8 octubre,Celebración de la Batalla de Angamos
Perú,2022,1 noviembre,Día de Todos los Santos
Perú,2022,8 diciembre,Día de la Inmaculada Concepción
