COMPETIDOR,NOMBRE_LOCAL,DIRECCIÓN,LATITUD,LONGITUD
Vega,Vega Mayorista Collique,"Av. Andrés Avelino Cáceres N°236,Lt. 01. A.H. Collique",-11.9137167,-77.0364258
Vega,Vega Mayorista Infantas,Av. Gerardo Unger N° 6531 Urb. Infantas,-11.9453415,-77.0693872
Vega,Vega Mayorista Productores,"Asociación de Productores Agricolas Mercado Santa Anita, Pj. B 13",-12.0429276,-77.0411971
Vega,Vega Supermayorista Belaunde,"Av. Belaunde Oeste 198, Urb. Huaquillay, (A 1 cdra de la Av. Túpac Amaru)",-11.9397428,-77.0560165
Vega,Vega Supermayorista Santa Clara,"Av. Estrella 286 Urb. Santa Clara, (Centro Comercial Qhatu Plaza)",-12.0182055,-76.8864092
Vega,Vega Supermayorista San Antonio,"Fundo Punchauca Caudeguilla Mz. D, Lt. 1, (Alt. KM. 22 de la Av. Túpac Amaru)",-11.9148756,-77.1393753
Vega,Vega Supermayorista Chorrillos,"Jr. Genaro Numa Llona N °200, (Alt. de la cdras 4 y 5 de la Av Huaylas)",-12.1678092,-77.0286273
Vega,Vega Supermayorista Año Nuevo,"Jr. Jupiter Mz. 6, LT. 65-66, Urb. Villa Collique ",-11.9166833,-77.0945918
Vega,Vega Supermayorista Colonial,"Av. Colonial 679, (Entre la Av. Colonial y Av. Carcamo)",,
Vega,Vega Supermayorista Huamantanga,"Av. Puente Piedra 200, (MERCADO HUAMANTANGA)",-11.8626311,-77.0790871
Vega,Vega Supermayorista Ciudad y Campo,"Av. Armando Filomeno N° 145, (Espalda del Mcdo Ciudad y Campo)",-12.0243773,-77.0338186
Vega,Vega Supermayorista Sol De Naranjal,"Av. Pacasmayo Mz. A, lote. 01 (Frente al Grifo Olimpo)",-12.0126871,-77.1052696
Vega,Vega Supermayorista San Diego,"Sta Maria De Los Angeles Mz. Ñ1, Lt. 3, Urb. San Diego (Mcdo Modelo San Diego)",-11.9460171,-77.0904353
Vega,Vega Supermayorista Tomas Marsano,"Av. Tomas Marsano Cdra 48 MZ. G4, Lt. 23",-12.1280638,-77.006416
Vega,Vega Supermayorista Lima VES,"Av. Lima 2500 Lote A2, (Costado de MegaPlaza Express)",,
Vega,Vega Supermayorista Minka,"Av. Argentina 3093 Int. 97, (Centro Comercial Minka)",-12.0482197,-77.1140091
Vega,Vega Market Aymaras,Las Aymaras Cdra 3 - Cerca al Arco,,
Vega,Vega Market Olimpo,Calle Efestos Mz w Lt4 - Olimpo,,
Vega,Vega Market Bocanegra,"AV. BOCANEGRA Mz. A, Lote 30, Urb. Alvino Herrera - Cerca al Cruce con Av. Dominicos.",-12.0242437,-77.0982746
Vega,Vega Market Canta Callao,"PARCELA 2A, 110, EX FUNDO TABOADA - Frente al Open Plaza de Canta Callao.",-12.0039026,-77.2737918
